197	179	64	200	-60	-6	-21
195	103	163	88	46	146	20
149	115	134	0	9	-85	71
107	-72	156	179	-9	-30	-41
-67	-69	165	10	37	29	-48
3	115	-88	-77	101	96	-46
162	-10	77	111	-96	-18	67
139	-76	79	-17	176	103	-19
69	109	-90	29	23	13	79
104	190	137	133	117	116	-100
56	71	163	74	-41	106	-36
186	-69	105	176	127	-47	62
107	152	162	132	57	26	-90
94	57	112	-43	74	-86	24
170	169	105	-66	36	64	195
-83	-71	62	-48	23	-84	126
-69	-75	142	-2	-46	188	-58
-25	37	125	-48	140	141	-96
80	106	-43	10	-67	-24	-11
184	-18	134	-77	-32	137	-62
-80	-16	39	4	171	110	-31
59	-86	27	114	-54	63	100
89	-40	19	192	-29	65	135
84	197	-64	94	163	95	100
68	175	111	147	78	-79	-61
51	-25	171	56	-51	-5	-54
96	4	167	69	153	104	-5
114	118	4	200	-31	-2	139
27	-27	-43	192	11	33	74
75	-1	175	168	-79	-100	121
181	-46	85	162	-56	163	162
129	143	168	-41	141	-47	-78
74	80	-50	-67	-74	36	93
34	170	108	-65	-88	115	-25
129	115	15	196	22	-74	91
-9	18	137	-32	-51	-6	52
195	142	190	81	173	79	171
125	-16	23	107	-67	88	-65
84	186	47	-72	178	-49	149
119	144	87	21	-73	55	23
-54	69	85	132	-95	50	121
-47	-55	41	48	115	138	40
11	27	115	58	142	177	-99
86	-34	-78	-2	97	17	-97
1	1	179	125	91	97	105
110	113	-99	130	16	-72	175
66	62	107	1	-38	139	123
123	97	77	41	-16	47	-5
166	-76	127	-100	121	1	-44
130	180	86	137	37	84	106
164	65	85	200	170	-36	153
-41	-33	95	184	36	125	107
-90	-41	191	3	179	164	69
126	93	162	167	-26	101	139
39	31	163	29	10	145	132
30	-90	200	15	24	138	80
22	183	153	198	97	-20	-30
193	-46	-61	-25	136	0	147
197	33	-99	110	69	133	58
-72	-88	-45	63	-81	93	148
84	115	133	37	55	194	11
94	14	12	19	-47	88	112
19	-75	29	-53	129	115	190
125	-10	6	63	-58	-27	46
-33	37	155	-33	83	139	26
-29	-80	20	-13	-98	-81	41
94	110	59	-19	163	89	74
115	105	148	-61	-55	91	25
195	13	84	57	63	109	197
179	69	152	-37	-91	155	11
114	31	-59	-36	74	72	33
-90	41	99	196	107	-30	-38
92	-20	128	-91	15	-35	-39
137	-7	8	91	84	80	137
-11	147	46	101	-95	-53	151
104	-83	152	190	190	187	158
44	-43	-48	104	131	195	-67
-21	101	158	137	197	39	106
-68	20	-86	110	-72	185	120
-97	65	85	13	198	8	94
154	50	77	-51	-26	0	187
142	100	89	145	-2	29	115
-33	-66	157	130	102	180	-96
-39	184	-26	-79	12	187	119
2	81	-87	-42	-47	45	-15
85	98	-34	34	117	47	-5
-7	110	153	38	-45	-87	26
-68	12	175	15	-64	189	61
-41	149	68	147	158	-30	-46
-80	-9	76	110	-62	115	98
26	46	-6	79	-24	41	157
-59	-22	-42	10	187	150	98
68	125	-4	-3	-79	77	181
80	15	171	185	44	-100	16
172	-53	142	117	142	116	74
186	-42	-26	-67	-44	0	-100
16	160	165	-92	48	-90	-91
139	18	125	61	53	-44	-56
-46	36	113	-53	50	96	-54
149	123	123	173	180	128	-29
27	-41	188	-83	44	198	144
125	-27	119	91	106	-69	-42
56	53	-5	58	126	69	-62
100	-54	195	75	122	7	10
128	72	81	131	-8	144	-9
11	96	-67	120	184	180	117
-61	69	100	40	60	163	-10
187	39	-96	146	-65	149	61
-88	85	-51	-6	184	-4	188
136	57	103	36	-19	-27	-77
163	110	180	-34	155	-42	126
-65	61	-94	154	73	-62	-19
